Vardas              Pavarde             Galutinis(vid.)/  Galutinis(med.)
Vardas3065          Pavarde3065         4.8               6
Vardas3066          Pavarde3066         3                 3
Vardas3067          Pavarde3067         2.4               7
Vardas3068          Pavarde3068         1.2               5
Vardas3069          Pavarde3069         6                 4
Vardas3070          Pavarde3070         0.6               7
Vardas3071          Pavarde3071         4.8               6
Vardas3072          Pavarde3072         6                 6
Vardas3073          Pavarde3073         4.2               5
Vardas3074          Pavarde3074         1.2               3
Vardas3075          Pavarde3075         3.6               3
Vardas3076          Pavarde3076         4.8               7
Vardas3077          Pavarde3077         4.8               5
Vardas3078          Pavarde3078         3.6               4
Vardas3079          Pavarde3079         4.8               5
Vardas3080          Pavarde3080         3.6               7
Vardas3081          Pavarde3081         4.8               7
Vardas3082          Pavarde3082         3                 4
Vardas3083          Pavarde3083         5.4               5
Vardas3084          Pavarde3084         1.2               4
Vardas3085          Pavarde3085         4.8               3
Vardas3086          Pavarde3086         0.6               6
Vardas3087          Pavarde3087         6                 4
Vardas3088          Pavarde3088         4.2               7
Vardas3089          Pavarde3089         3.6               5
Vardas3090          Pavarde3090         0.6               3
Vardas3091          Pavarde3091         0.6               4
Vardas3092          Pavarde3092         4.8               4
Vardas3093          Pavarde3093         2.4               3
Vardas3094          Pavarde3094         2.4               6
Vardas3095          Pavarde3095         4.8               6
Vardas3096          Pavarde3096         4.8               5
Vardas3097          Pavarde3097         2.4               6
Vardas3098          Pavarde3098         1.2               3
Vardas3099          Pavarde3099         1.8               7
Vardas3100          Pavarde3100         1.8               5
Vardas3101          Pavarde3101         4.2               7
Vardas3102          Pavarde3102         0.6               4
Vardas3103          Pavarde3103         3.6               4
Vardas3104          Pavarde3104         1.2               6
Vardas3105          Pavarde3105         1.8               5
Vardas3106          Pavarde3106         4.2               6
Vardas3107          Pavarde3107         5.4               5
Vardas3108          Pavarde3108         2.4               5
Vardas3109          Pavarde3109         1.8               6
Vardas3110          Pavarde3110         3.6               4
Vardas3111          Pavarde3111         3.6               4
Vardas3112          Pavarde3112         4.2               7
Vardas3113          Pavarde3113         6                 4
Vardas3114          Pavarde3114         4.8               5
Vardas3115          Pavarde3115         0.6               7
Vardas3116          Pavarde3116         3                 3
Vardas3117          Pavarde3117         1.2               4
Vardas3118          Pavarde3118         0.6               4
Vardas3119          Pavarde3119         1.2               2
Vardas3120          Pavarde3120         1.2               5
Vardas3121          Pavarde3121         4.2               2
Vardas3122          Pavarde3122         1.8               4
Vardas3123          Pavarde3123         4.8               5
Vardas3124          Pavarde3124         4.2               6
Vardas3125          Pavarde3125         5.4               5
Vardas3126          Pavarde3126         4.8               6
Vardas3127          Pavarde3127         5.4               5
Vardas3128          Pavarde3128         3                 5
Vardas3129          Pavarde3129         1.2               4
Vardas3130          Pavarde3130         1.8               4
Vardas3131          Pavarde3131         1.8               4
Vardas3132          Pavarde3132         1.2               5
Vardas3133          Pavarde3133         4.8               5
Vardas3134          Pavarde3134         3.6               5
Vardas3135          Pavarde3135         0.6               6
Vardas3136          Pavarde3136         5.4               6
Vardas3137          Pavarde3137         4.8               7
Vardas3138          Pavarde3138         4.2               5
Vardas3139          Pavarde3139         2.4               3
Vardas3140          Pavarde3140         5.4               6
Vardas3141          Pavarde3141         0.6               5
Vardas3142          Pavarde3142         5.4               4
Vardas3143          Pavarde3143         4.2               6
Vardas3144          Pavarde3144         1.8               3
Vardas3145          Pavarde3145         4.2               5
Vardas3146          Pavarde3146         2.4               5
Vardas3147          Pavarde3147         3                 5
Vardas3148          Pavarde3148         1.8               5
Vardas3149          Pavarde3149         4.2               5
Vardas3150          Pavarde3150         3.6               6
Vardas3151          Pavarde3151         5.4               7
Vardas3152          Pavarde3152         1.8               5
Vardas3153          Pavarde3153         3.6               4
Vardas3154          Pavarde3154         2.4               5
Vardas3155          Pavarde3155         5.4               3
Vardas3156          Pavarde3156         0.6               5
Vardas3157          Pavarde3157         0.6               7
Vardas3158          Pavarde3158         6                 4
Vardas3159          Pavarde3159         3                 4
Vardas3160          Pavarde3160         6                 6
Vardas3161          Pavarde3161         3                 5
Vardas3162          Pavarde3162         3                 5
Vardas3163          Pavarde3163         4.8               6
Vardas3164          Pavarde3164         5.4               8
Vardas3165          Pavarde3165         1.2               4
Vardas3166          Pavarde3166         2.4               6
Vardas3167          Pavarde3167         1.2               4
Vardas3168          Pavarde3168         1.2               5
Vardas3169          Pavarde3169         4.2               4
Vardas3170          Pavarde3170         4.2               6
Vardas3171          Pavarde3171         1.2               6
Vardas3172          Pavarde3172         2.4               6
Vardas3173          Pavarde3173         3                 8
Vardas3174          Pavarde3174         5.4               5
Vardas3175          Pavarde3175         4.8               8
Vardas3176          Pavarde3176         6                 2
Vardas3177          Pavarde3177         3                 4
Vardas3178          Pavarde3178         1.8               6
Vardas3179          Pavarde3179         1.2               6
Vardas3180          Pavarde3180         1.8               4
Vardas3181          Pavarde3181         2.4               6
Vardas3182          Pavarde3182         4.8               5
Vardas3183          Pavarde3183         3.6               6
Vardas3184          Pavarde3184         4.2               4
Vardas3185          Pavarde3185         4.2               5
Vardas3186          Pavarde3186         4.2               6
Vardas3187          Pavarde3187         0.6               5
Vardas3188          Pavarde3188         3                 5
Vardas3189          Pavarde3189         2.4               4
Vardas3190          Pavarde3190         5.4               5
Vardas3191          Pavarde3191         6                 3
Vardas3192          Pavarde3192         3.6               5
Vardas3193          Pavarde3193         2.4               5
Vardas3194          Pavarde3194         4.2               8
Vardas3195          Pavarde3195         5.4               4
Vardas3196          Pavarde3196         2.4               7
Vardas3197          Pavarde3197         2.4               7
Vardas3198          Pavarde3198         4.8               4
Vardas3199          Pavarde3199         6                 6
Vardas3200          Pavarde3200         3.6               6
Vardas3201          Pavarde3201         2.4               3
Vardas3202          Pavarde3202         3                 5
Vardas3203          Pavarde3203         4.2               5
Vardas3204          Pavarde3204         1.2               6
Vardas3205          Pavarde3205         2.4               5
Vardas3206          Pavarde3206         6                 5
Vardas3207          Pavarde3207         0.6               6
Vardas3208          Pavarde3208         2.4               4
Vardas3209          Pavarde3209         5.4               3
Vardas3210          Pavarde3210         5.4               4
Vardas3211          Pavarde3211         5.4               5
Vardas3212          Pavarde3212         4.2               7
Vardas3213          Pavarde3213         6                 5
Vardas3214          Pavarde3214         5.4               4
Vardas3215          Pavarde3215         4.2               5
Vardas3216          Pavarde3216         4.2               6
Vardas3217          Pavarde3217         1.8               6
Vardas3218          Pavarde3218         5.4               6
Vardas3219          Pavarde3219         2.4               7
Vardas3220          Pavarde3220         5.4               6
Vardas3221          Pavarde3221         5.4               4
Vardas3222          Pavarde3222         0.6               3
Vardas3223          Pavarde3223         6                 6
Vardas3224          Pavarde3224         2.4               5
Vardas3225          Pavarde3225         1.8               4
Vardas3226          Pavarde3226         6                 3
Vardas3227          Pavarde3227         1.8               8
Vardas3228          Pavarde3228         3.6               4
Vardas3229          Pavarde3229         4.2               6
Vardas3230          Pavarde3230         4.2               6
Vardas3231          Pavarde3231         2.4               7
Vardas3232          Pavarde3232         1.8               5
Vardas3233          Pavarde3233         4.2               6
Vardas3234          Pavarde3234         3.6               5
Vardas3235          Pavarde3235         4.8               5
Vardas3236          Pavarde3236         1.2               4
Vardas3237          Pavarde3237         1.2               3
Vardas3238          Pavarde3238         3.6               5
Vardas3239          Pavarde3239         3                 4
Vardas3240          Pavarde3240         3                 5
Vardas3241          Pavarde3241         1.2               6
Vardas3242          Pavarde3242         1.2               7
Vardas3243          Pavarde3243         3.6               5
Vardas3244          Pavarde3244         0.6               5
Vardas3245          Pavarde3245         4.2               5
Vardas3246          Pavarde3246         2.4               5
Vardas3247          Pavarde3247         1.2               5
Vardas3248          Pavarde3248         1.2               5
Vardas3249          Pavarde3249         6                 5
Vardas3250          Pavarde3250         2.4               5
Vardas3251          Pavarde3251         4.8               4
Vardas3252          Pavarde3252         3.6               3
Vardas3253          Pavarde3253         4.2               6
Vardas3254          Pavarde3254         0.6               5
Vardas3255          Pavarde3255         5.4               6
Vardas3256          Pavarde3256         2.4               5
Vardas3257          Pavarde3257         1.2               5
Vardas3258          Pavarde3258         2.4               4
Vardas3259          Pavarde3259         1.2               7
Vardas3260          Pavarde3260         6                 4
Vardas3261          Pavarde3261         6                 4
Vardas3262          Pavarde3262         3.6               7
Vardas3263          Pavarde3263         4.8               6
Vardas3264          Pavarde3264         3                 3
Vardas3265          Pavarde3265         6                 6
Vardas3266          Pavarde3266         3.6               6
Vardas3267          Pavarde3267         3.6               7
Vardas3268          Pavarde3268         3                 5
Vardas3269          Pavarde3269         4.2               5
Vardas3270          Pavarde3270         4.2               5
Vardas3271          Pavarde3271         1.8               4
Vardas3272          Pavarde3272         1.2               5
Vardas3273          Pavarde3273         2.4               4
Vardas3274          Pavarde3274         6                 5
Vardas3275          Pavarde3275         5.4               4
Vardas3276          Pavarde3276         5.4               5
Vardas3277          Pavarde3277         1.8               4
Vardas3278          Pavarde3278         1.8               6
Vardas3279          Pavarde3279         1.8               6
Vardas3280          Pavarde3280         4.8               6
Vardas3281          Pavarde3281         1.2               6
Vardas3282          Pavarde3282         1.2               3
Vardas3283          Pavarde3283         3                 6
Vardas3284          Pavarde3284         3.6               6
Vardas3285          Pavarde3285         6                 6
Vardas3286          Pavarde3286         2.4               6
Vardas3287          Pavarde3287         2.4               3
Vardas3288          Pavarde3288         3.6               3
Vardas3289          Pavarde3289         6                 5
Vardas3290          Pavarde3290         4.8               6
Vardas3291          Pavarde3291         3                 2
Vardas3292          Pavarde3292         4.2               6
Vardas3293          Pavarde3293         4.2               7
Vardas3294          Pavarde3294         0.6               5
Vardas3295          Pavarde3295         1.2               5
Vardas3296          Pavarde3296         2.4               4
Vardas3297          Pavarde3297         1.2               6
Vardas3298          Pavarde3298         3.6               5
Vardas3299          Pavarde3299         4.8               3
Vardas3300          Pavarde3300         0.6               6
Vardas3301          Pavarde3301         3                 3
Vardas3302          Pavarde3302         3                 4
Vardas3303          Pavarde3303         0.6               3
Vardas3304          Pavarde3304         4.2               6
Vardas3305          Pavarde3305         4.8               4
Vardas3306          Pavarde3306         2.4               4
Vardas3307          Pavarde3307         3                 4
Vardas3308          Pavarde3308         3.6               4
Vardas3309          Pavarde3309         4.2               6
Vardas3310          Pavarde3310         3                 6
Vardas3311          Pavarde3311         1.8               7
Vardas3312          Pavarde3312         1.8               5
Vardas3313          Pavarde3313         4.8               7
Vardas3314          Pavarde3314         4.8               3
Vardas3315          Pavarde3315         4.2               5
Vardas3316          Pavarde3316         2.4               6
Vardas3317          Pavarde3317         0.6               5
Vardas3318          Pavarde3318         1.2               2
Vardas3319          Pavarde3319         2.4               3
Vardas3320          Pavarde3320         0.6               6
Vardas3321          Pavarde3321         5.4               6
Vardas3322          Pavarde3322         0.6               2
Vardas3323          Pavarde3323         4.2               5
Vardas3324          Pavarde3324         4.8               6
Vardas3325          Pavarde3325         0.6               5
Vardas3326          Pavarde3326         6                 6
Vardas3327          Pavarde3327         2.4               4
Vardas3328          Pavarde3328         0.6               4
Vardas3329          Pavarde3329         1.2               6
Vardas3330          Pavarde3330         1.2               3
Vardas3331          Pavarde3331         3.6               6
Vardas3332          Pavarde3332         2.4               6
Vardas3333          Pavarde3333         3.6               5
Vardas3334          Pavarde3334         4.8               6
Vardas3335          Pavarde3335         1.8               7
Vardas3336          Pavarde3336         4.2               8
Vardas3337          Pavarde3337         1.2               5
Vardas3338          Pavarde3338         4.8               4
Vardas3339          Pavarde3339         1.8               4
Vardas3340          Pavarde3340         2.4               5
Vardas3341          Pavarde3341         4.8               4
Vardas3342          Pavarde3342         1.8               5
Vardas3343          Pavarde3343         5.4               4
Vardas3344          Pavarde3344         6                 6
Vardas3345          Pavarde3345         3                 6
Vardas3346          Pavarde3346         0.6               4
Vardas3347          Pavarde3347         0.6               3
Vardas3348          Pavarde3348         3                 5
Vardas3349          Pavarde3349         1.2               3
Vardas3350          Pavarde3350         4.2               6
Vardas3351          Pavarde3351         1.8               6
Vardas3352          Pavarde3352         3.6               4
Vardas3353          Pavarde3353         4.2               5
Vardas3354          Pavarde3354         4.2               7
Vardas3355          Pavarde3355         6                 6
Vardas3356          Pavarde3356         1.2               5
Vardas3357          Pavarde3357         5.4               5
Vardas3358          Pavarde3358         3.6               6
Vardas3359          Pavarde3359         3.6               5
Vardas3360          Pavarde3360         4.8               4
Vardas3361          Pavarde3361         6                 6
Vardas3362          Pavarde3362         3.6               4
Vardas3363          Pavarde3363         2.4               6
Vardas3364          Pavarde3364         2.4               3
Vardas3365          Pavarde3365         1.2               3
Vardas3366          Pavarde3366         5.4               8
Vardas3367          Pavarde3367         2.4               5
Vardas3368          Pavarde3368         0.6               3
Vardas3369          Pavarde3369         1.8               5
Vardas3370          Pavarde3370         3                 4
Vardas3371          Pavarde3371         4.2               3
Vardas3372          Pavarde3372         3                 6
Vardas3373          Pavarde3373         2.4               6
Vardas3374          Pavarde3374         0.6               6
Vardas3375          Pavarde3375         5.4               6
Vardas3376          Pavarde3376         6                 6
Vardas3377          Pavarde3377         1.8               4
Vardas3378          Pavarde3378         1.8               4
Vardas3379          Pavarde3379         1.2               6
Vardas3380          Pavarde3380         0.6               5
Vardas3381          Pavarde3381         4.8               6
Vardas3382          Pavarde3382         1.2               6
Vardas3383          Pavarde3383         6                 6
Vardas3384          Pavarde3384         1.8               6
Vardas3385          Pavarde3385         1.2               4
Vardas3386          Pavarde3386         3                 5
Vardas3387          Pavarde3387         4.8               6
Vardas3388          Pavarde3388         4.2               3
Vardas3389          Pavarde3389         1.8               4
Vardas3390          Pavarde3390         3                 5
Vardas3391          Pavarde3391         4.8               6
Vardas3392          Pavarde3392         4.2               6
Vardas3393          Pavarde3393         5.4               5
Vardas3394          Pavarde3394         3                 5
Vardas3395          Pavarde3395         6                 7
Vardas3396          Pavarde3396         1.8               6
Vardas3397          Pavarde3397         0.6               5
Vardas3398          Pavarde3398         4.8               5
Vardas3399          Pavarde3399         6                 7
Vardas3400          Pavarde3400         5.4               6
Vardas3401          Pavarde3401         0.6               6
Vardas3402          Pavarde3402         3.6               3
Vardas3403          Pavarde3403         5.4               5
Vardas3404          Pavarde3404         5.4               7
Vardas3405          Pavarde3405         1.8               4
Vardas3406          Pavarde3406         3                 6
Vardas3407          Pavarde3407         6                 5
Vardas3408          Pavarde3408         0.6               5
Vardas3409          Pavarde3409         3.6               4
Vardas3410          Pavarde3410         2.4               4
Vardas3411          Pavarde3411         6                 5
Vardas3412          Pavarde3412         4.2               3
Vardas3413          Pavarde3413         5.4               4
Vardas3414          Pavarde3414         4.8               4
Vardas3415          Pavarde3415         4.8               5
Vardas3416          Pavarde3416         5.4               5
Vardas3417          Pavarde3417         4.8               5
Vardas3418          Pavarde3418         1.8               6
Vardas3419          Pavarde3419         4.8               6
Vardas3420          Pavarde3420         6                 5
Vardas3421          Pavarde3421         4.8               5
Vardas3422          Pavarde3422         1.8               6
Vardas3423          Pavarde3423         3.6               5
Vardas3424          Pavarde3424         6                 7
Vardas3425          Pavarde3425         2.4               5
Vardas3426          Pavarde3426         3.6               3
Vardas3427          Pavarde3427         4.2               6
Vardas3428          Pavarde3428         6                 4
Vardas3429          Pavarde3429         1.8               2
Vardas3430          Pavarde3430         6                 5
Vardas3431          Pavarde3431         4.8               6
Vardas3432          Pavarde3432         3.6               5
Vardas3433          Pavarde3433         4.2               5
Vardas3434          Pavarde3434         3                 4
Vardas3435          Pavarde3435         1.2               4
Vardas3436          Pavarde3436         2.4               6
Vardas3437          Pavarde3437         1.2               5
Vardas3438          Pavarde3438         1.2               7
Vardas3439          Pavarde3439         0.6               5
Vardas3440          Pavarde3440         2.4               5
Vardas3441          Pavarde3441         6                 6
Vardas3442          Pavarde3442         1.2               3
Vardas3443          Pavarde3443         0.6               6
Vardas3444          Pavarde3444         4.8               5
Vardas3445          Pavarde3445         1.8               5
Vardas3446          Pavarde3446         1.2               6
Vardas3447          Pavarde3447         3.6               5
Vardas3448          Pavarde3448         4.8               5
Vardas3449          Pavarde3449         4.2               7
Vardas3450          Pavarde3450         3.6               3
Vardas3451          Pavarde3451         4.8               4
Vardas3452          Pavarde3452         4.8               4
Vardas3453          Pavarde3453         4.2               5
Vardas3454          Pavarde3454         1.2               6
Vardas3455          Pavarde3455         4.2               4
Vardas3456          Pavarde3456         3                 6
Vardas3457          Pavarde3457         3.6               3
Vardas3458          Pavarde3458         6                 4
Vardas3459          Pavarde3459         3                 4
Vardas3460          Pavarde3460         3.6               6
Vardas3461          Pavarde3461         6                 7
Vardas3462          Pavarde3462         6                 5
Vardas3463          Pavarde3463         1.2               3
Vardas3464          Pavarde3464         3.6               6
Vardas3465          Pavarde3465         3.6               4
Vardas3466          Pavarde3466         1.2               7
Vardas3467          Pavarde3467         5.4               6
Vardas3468          Pavarde3468         0.6               4
Vardas3469          Pavarde3469         3                 6
Vardas3470          Pavarde3470         2.4               5
Vardas3471          Pavarde3471         5.4               5
Vardas3472          Pavarde3472         2.4               4
Vardas3473          Pavarde3473         0.6               4
Vardas3474          Pavarde3474         4.8               6
Vardas3475          Pavarde3475         1.2               5
Vardas3476          Pavarde3476         1.2               6
Vardas3477          Pavarde3477         1.8               6
Vardas3478          Pavarde3478         4.2               4
Vardas3479          Pavarde3479         3.6               5
Vardas3480          Pavarde3480         4.8               6
Vardas3481          Pavarde3481         5.4               5
Vardas3482          Pavarde3482         2.4               6
Vardas3483          Pavarde3483         1.8               5
Vardas3484          Pavarde3484         6                 4
Vardas3485          Pavarde3485         3.6               6
Vardas3486          Pavarde3486         4.8               4
Vardas3487          Pavarde3487         4.2               3
Vardas3488          Pavarde3488         1.8               4
Vardas3489          Pavarde3489         2.4               5
Vardas3490          Pavarde3490         2.4               6
Vardas3491          Pavarde3491         2.4               5
Vardas3492          Pavarde3492         3.6               8
Vardas3493          Pavarde3493         4.8               5
Vardas3494          Pavarde3494         3.6               6
Vardas3495          Pavarde3495         0.6               5
Vardas3496          Pavarde3496         1.2               4
Vardas3497          Pavarde3497         4.8               5
Vardas3498          Pavarde3498         2.4               3
Vardas3499          Pavarde3499         4.8               6
Vardas3500          Pavarde3500         3.6               4
Vardas3501          Pavarde3501         6                 4
Vardas3502          Pavarde3502         4.8               2
Vardas3503          Pavarde3503         4.8               6
Vardas3504          Pavarde3504         2.4               7
Vardas3505          Pavarde3505         1.2               5
Vardas3506          Pavarde3506         3.6               5
Vardas3507          Pavarde3507         0.6               6
Vardas3508          Pavarde3508         1.8               4
Vardas3509          Pavarde3509         3.6               3
Vardas3510          Pavarde3510         6                 5
Vardas3511          Pavarde3511         0.6               6
Vardas3512          Pavarde3512         1.2               5
Vardas3513          Pavarde3513         1.2               4
Vardas3514          Pavarde3514         3                 3
Vardas3515          Pavarde3515         2.4               6
Vardas3516          Pavarde3516         4.8               4
Vardas3517          Pavarde3517         1.2               6
Vardas3518          Pavarde3518         0.6               6
Vardas3519          Pavarde3519         4.2               6
Vardas3520          Pavarde3520         0.6               6
Vardas3521          Pavarde3521         3.6               4
Vardas3522          Pavarde3522         4.2               6
Vardas3523          Pavarde3523         5.4               5
Vardas3524          Pavarde3524         1.8               7
Vardas3525          Pavarde3525         6                 4
Vardas3526          Pavarde3526         1.2               4
Vardas3527          Pavarde3527         5.4               3
Vardas3528          Pavarde3528         3.6               6
Vardas3529          Pavarde3529         6                 4
Vardas3530          Pavarde3530         1.8               5
Vardas3531          Pavarde3531         1.8               5
Vardas3532          Pavarde3532         0.6               6
Vardas3533          Pavarde3533         3                 5
Vardas3534          Pavarde3534         4.2               5
Vardas3535          Pavarde3535         3.6               3
Vardas3536          Pavarde3536         4.8               6
Vardas3537          Pavarde3537         4.8               4
Vardas3538          Pavarde3538         1.2               4
Vardas3539          Pavarde3539         2.4               3
Vardas3540          Pavarde3540         5.4               6
Vardas3541          Pavarde3541         5.4               8
Vardas3542          Pavarde3542         4.8               6
Vardas3543          Pavarde3543         1.2               6
Vardas3544          Pavarde3544         6                 6
Vardas3545          Pavarde3545         4.8               5
Vardas3546          Pavarde3546         4.8               6
Vardas3547          Pavarde3547         4.8               4
Vardas3548          Pavarde3548         1.2               6
Vardas3549          Pavarde3549         6                 7
Vardas3550          Pavarde3550         6                 6
Vardas3551          Pavarde3551         5.4               4
Vardas3552          Pavarde3552         5.4               6
Vardas3553          Pavarde3553         1.2               4
Vardas3554          Pavarde3554         5.4               5
Vardas3555          Pavarde3555         0.6               5
Vardas3556          Pavarde3556         4.8               6
Vardas3557          Pavarde3557         6                 6
Vardas3558          Pavarde3558         3                 6
Vardas3559          Pavarde3559         5.4               4
Vardas3560          Pavarde3560         3.6               5
Vardas3561          Pavarde3561         3.6               5
Vardas3562          Pavarde3562         0.6               5
Vardas3563          Pavarde3563         5.4               5
Vardas3564          Pavarde3564         6                 7
Vardas3565          Pavarde3565         2.4               5
Vardas3566          Pavarde3566         1.8               5
Vardas3567          Pavarde3567         4.8               5
Vardas3568          Pavarde3568         1.8               4
Vardas3569          Pavarde3569         5.4               5
Vardas3570          Pavarde3570         5.4               5
Vardas3571          Pavarde3571         1.8               4
Vardas3572          Pavarde3572         1.8               6
Vardas3573          Pavarde3573         1.2               5
Vardas3574          Pavarde3574         3.6               4
Vardas3575          Pavarde3575         0.6               6
Vardas3576          Pavarde3576         4.2               7
Vardas3577          Pavarde3577         4.2               6
Vardas3578          Pavarde3578         3.6               3
Vardas3579          Pavarde3579         1.8               4
Vardas3580          Pavarde3580         3.6               5
Vardas3581          Pavarde3581         2.4               6
Vardas3582          Pavarde3582         4.2               6
Vardas3583          Pavarde3583         1.2               4
Vardas3584          Pavarde3584         6                 5
Vardas3585          Pavarde3585         2.4               4
Vardas3586          Pavarde3586         1.2               5
Vardas3587          Pavarde3587         4.8               6
Vardas3588          Pavarde3588         5.4               5
Vardas3589          Pavarde3589         4.2               5
Vardas3590          Pavarde3590         5.4               4
Vardas3591          Pavarde3591         4.2               5
Vardas3592          Pavarde3592         4.2               5
Vardas3593          Pavarde3593         4.2               5
Vardas3594          Pavarde3594         2.4               4
Vardas3595          Pavarde3595         5.4               3
Vardas3596          Pavarde3596         2.4               4
Vardas3597          Pavarde3597         0.6               3
Vardas3598          Pavarde3598         5.4               5
Vardas3599          Pavarde3599         5.4               5
Vardas3600          Pavarde3600         6                 5
Vardas3601          Pavarde3601         2.4               5
Vardas3602          Pavarde3602         4.8               5
Vardas3603          Pavarde3603         4.8               5
Vardas3604          Pavarde3604         6                 6
Vardas3605          Pavarde3605         1.8               7
Vardas3606          Pavarde3606         6                 5
Vardas3607          Pavarde3607         3                 3
Vardas3608          Pavarde3608         2.4               6
Vardas3609          Pavarde3609         1.2               6
Vardas3610          Pavarde3610         3                 4
Vardas3611          Pavarde3611         2.4               4
Vardas3612          Pavarde3612         5.4               6
Vardas3613          Pavarde3613         4.8               6
Vardas3614          Pavarde3614         2.4               4
Vardas3615          Pavarde3615         2.4               5
Vardas3616          Pavarde3616         3.6               4
Vardas3617          Pavarde3617         3.6               6
Vardas3618          Pavarde3618         2.4               4
Vardas3619          Pavarde3619         3.6               6
Vardas3620          Pavarde3620         1.2               3
Vardas3621          Pavarde3621         3.6               6
Vardas3622          Pavarde3622         2.4               6
Vardas3623          Pavarde3623         4.8               5
Vardas3624          Pavarde3624         4.8               7
Vardas3625          Pavarde3625         1.8               5
Vardas3626          Pavarde3626         0.6               4
Vardas3627          Pavarde3627         3.6               4
Vardas3628          Pavarde3628         4.2               4
Vardas3629          Pavarde3629         1.2               5
Vardas3630          Pavarde3630         1.2               4
Vardas3631          Pavarde3631         4.2               7
Vardas3632          Pavarde3632         2.4               7
Vardas3633          Pavarde3633         2.4               6
Vardas3634          Pavarde3634         3.6               5
Vardas3635          Pavarde3635         2.4               2
Vardas3636          Pavarde3636         1.8               3
Vardas3637          Pavarde3637         1.2               5
Vardas3638          Pavarde3638         4.2               6
Vardas3639          Pavarde3639         3                 6
Vardas3640          Pavarde3640         5.4               7
Vardas3641          Pavarde3641         6                 7
Vardas3642          Pavarde3642         0.6               6
Vardas3643          Pavarde3643         1.8               6
Vardas3644          Pavarde3644         3                 5
Vardas3645          Pavarde3645         2.4               5
Vardas3646          Pavarde3646         6                 6
Vardas3647          Pavarde3647         3.6               4
Vardas3648          Pavarde3648         1.2               4
Vardas3649          Pavarde3649         4.8               5
Vardas3650          Pavarde3650         3                 5
Vardas3651          Pavarde3651         6                 5
Vardas3652          Pavarde3652         1.8               4
Vardas3653          Pavarde3653         4.8               6
Vardas3654          Pavarde3654         1.8               3
Vardas3655          Pavarde3655         1.2               6
Vardas3656          Pavarde3656         1.8               5
Vardas3657          Pavarde3657         6                 7
Vardas3658          Pavarde3658         0.6               5
Vardas3659          Pavarde3659         4.2               5
Vardas3660          Pavarde3660         5.4               5
Vardas3661          Pavarde3661         4.8               6
Vardas3662          Pavarde3662         5.4               5
Vardas3663          Pavarde3663         4.8               6
Vardas3664          Pavarde3664         4.2               7
Vardas3665          Pavarde3665         3.6               6
Vardas3666          Pavarde3666         5.4               5
Vardas3667          Pavarde3667         3                 4
Vardas3668          Pavarde3668         5.4               5
Vardas3669          Pavarde3669         4.2               7
Vardas3670          Pavarde3670         3.6               5
Vardas3671          Pavarde3671         3.6               2
Vardas3672          Pavarde3672         5.4               4
Vardas3673          Pavarde3673         5.4               6
Vardas3674          Pavarde3674         4.8               6
Vardas3675          Pavarde3675         3.6               4
Vardas3676          Pavarde3676         5.4               4
Vardas3677          Pavarde3677         0.6               7
Vardas3678          Pavarde3678         6                 5
Vardas3679          Pavarde3679         6                 4
Vardas3680          Pavarde3680         5.4               5
Vardas3681          Pavarde3681         0.6               7
Vardas3682          Pavarde3682         3                 5
Vardas3683          Pavarde3683         4.8               4
Vardas3684          Pavarde3684         6                 6
Vardas3685          Pavarde3685         3                 7
Vardas3686          Pavarde3686         2.4               4
Vardas3687          Pavarde3687         1.8               4
Vardas3688          Pavarde3688         1.2               7
Vardas3689          Pavarde3689         6                 7
Vardas3690          Pavarde3690         4.2               5
Vardas3691          Pavarde3691         5.4               5
Vardas3692          Pavarde3692         5.4               4
Vardas3693          Pavarde3693         4.8               4
Vardas3694          Pavarde3694         2.4               6
Vardas3695          Pavarde3695         0.6               4
Vardas3696          Pavarde3696         4.8               4
Vardas3697          Pavarde3697         4.8               6
Vardas3698          Pavarde3698         3.6               7
Vardas3699          Pavarde3699         2.4               6
Vardas3700          Pavarde3700         0.6               6
Vardas3701          Pavarde3701         3                 6
Vardas3702          Pavarde3702         3.6               6
Vardas3703          Pavarde3703         3.6               5
Vardas3704          Pavarde3704         2.4               5
Vardas3705          Pavarde3705         5.4               5
Vardas3706          Pavarde3706         1.2               3
Vardas3707          Pavarde3707         6                 3
Vardas3708          Pavarde3708         0.6               7
Vardas3709          Pavarde3709         1.8               5
Vardas3710          Pavarde3710         5.4               5
Vardas3711          Pavarde3711         2.4               6
Vardas3712          Pavarde3712         6                 5
Vardas3713          Pavarde3713         3                 4
Vardas3714          Pavarde3714         1.8               7
Vardas3715          Pavarde3715         4.2               4
Vardas3716          Pavarde3716         2.4               6
Vardas3717          Pavarde3717         3.6               6
Vardas3718          Pavarde3718         5.4               6
Vardas3719          Pavarde3719         1.2               2
Vardas3720          Pavarde3720         4.2               5
Vardas3721          Pavarde3721         3.6               4
Vardas3722          Pavarde3722         3                 3
Vardas3723          Pavarde3723         5.4               5
Vardas3724          Pavarde3724         6                 8
Vardas3725          Pavarde3725         3.6               4
Vardas3726          Pavarde3726         3.6               7
Vardas3727          Pavarde3727         3.6               5
Vardas3728          Pavarde3728         1.8               4
Vardas3729          Pavarde3729         2.4               6
Vardas3730          Pavarde3730         1.2               7
Vardas3731          Pavarde3731         2.4               5
Vardas3732          Pavarde3732         4.2               4
Vardas3733          Pavarde3733         2.4               4
Vardas3734          Pavarde3734         0.6               5
